DV,Factor,group1,group2,meandiff,p-adj,lower,upper,reject
balanced_accuracy,min_level within 95/5,100,50,0.0011,0.9997,-0.0301,0.0324,False
balanced_accuracy,min_level within 95/5,100,75,0.0009,0.9999,-0.0304,0.0321,False
balanced_accuracy,min_level within 95/5,25,50,-0.0013,0.9995,-0.0326,0.0299,False
balanced_accuracy,min_level within 95/5,25,75,-0.0016,0.9992,-0.0328,0.0296,False
balanced_accuracy,min_level within 95/5,50,75,-0.0003,1.0,-0.0315,0.031,False
mcc,imbalance,50/50,80/20,-0.0967,0.0,-0.1459,-0.0475,True
mcc,imbalance,50/50,90/10,-0.1696,0.0,-0.2188,-0.1204,True
mcc,imbalance,50/50,95/5,-0.2237,0.0,-0.2729,-0.1745,True
mcc,imbalance,80/20,90/10,-0.0729,0.0008,-0.1221,-0.0237,True
mcc,imbalance,80/20,95/5,-0.127,0.0,-0.1762,-0.0778,True
mcc,imbalance,90/10,95/5,-0.0541,0.0247,-0.1033,-0.0049,True
mcc,min_level,100,25,-0.0061,0.9909,-0.0591,0.0469,False
mcc,min_level,100,50,-0.0004,1.0,-0.0534,0.0526,False
mcc,min_level,100,75,0.0014,0.9999,-0.0517,0.0544,False
mcc,min_level,25,50,0.0057,0.9926,-0.0473,0.0587,False
mcc,min_level,25,75,0.0075,0.9837,-0.0456,0.0605,False
mcc,min_level,50,75,0.0018,0.9998,-0.0513,0.0548,False
mcc,min_level within 50/50,100,25,-0.0083,0.9965,-0.1088,0.0922,False
mcc,min_level within 50/50,100,50,-0.0027,0.9999,-0.1032,0.0978,False
mcc,min_level within 50/50,100,75,0.0002,1.0,-0.1003,0.1007,False
mcc,min_level within 50/50,25,50,0.0056,0.9989,-0.0949,0.1061,False
mcc,min_level within 50/50,25,75,0.0085,0.9963,-0.092,0.109,False
mcc,min_level within 50/50,50,75,0.0029,0.9998,-0.0976,0.1034,False
mcc,min_level within 80/20,100,25,-0.012,0.9907,-0.1162,0.0922,False
mcc,min_level within 80/20,100,50,-0.0043,0.9996,-0.1085,0.0999,False
mcc,min_level within 80/20,100,75,-0.0089,0.9962,-0.113,0.0953,False
mcc,min_level within 80/20,25,50,0.0077,0.9975,-0.0964,0.1119,False
mcc,min_level within 80/20,25,75,0.0032,0.9998,-0.101,0.1073,False
mcc,min_level within 80/20,50,75,-0.0046,0.9995,-0.1088,0.0996,False
mcc,min_level within 90/10,100,25,-0.0049,0.9993,-0.108,0.0983,False
mcc,min_level within 90/10,100,50,0.0046,0.9994,-0.0985,0.1078,False
mcc,min_level within 90/10,100,75,0.0105,0.9935,-0.0926,0.1137,False
mcc,min_level within 90/10,25,50,0.0095,0.9952,-0.0937,0.1127,False
mcc,min_level within 90/10,25,75,0.0154,0.9803,-0.0877,0.1186,False
mcc,min_level within 90/10,50,75,0.0059,0.9988,-0.0972,0.1091,False
mcc,min_level within 95/5,100,25,0.0007,1.0,-0.0891,0.0905,False
mcc,min_level within 95/5,100,50,0.0007,1.0,-0.0891,0.0905,False
mcc,min_level within 95/5,100,75,0.0035,0.9996,-0.0863,0.0933,False
mcc,min_level within 95/5,25,50,-0.0,1.0,-0.0898,0.0898,False
mcc,min_level within 95/5,25,75,0.0028,0.9998,-0.087,0.0926,False
mcc,min_level within 95/5,50,75,0.0028,0.9998,-0.087,0.0926,False
equal_opportunity_diff,imbalance,50/50,80/20,-0.0029,0.9825,-0.0228,0.017,False
equal_opportunity_diff,imbalance,50/50,90/10,0.0086,0.6831,-0.0113,0.0285,False
equal_opportunity_diff,imbalance,50/50,95/5,0.0323,0.0002,0.0124,0.0522,True
equal_opportunity_diff,imbalance,80/20,90/10,0.0115,0.4485,-0.0084,0.0314,False
equal_opportunity_diff,imbalance,80/20,95/5,0.0352,0.0,0.0153,0.0551,True
equal_opportunity_diff,imbalance,90/10,95/5,0.0237,0.0121,0.0038,0.0436,True
equal_opportunity_diff,min_level,100,25,0.0116,0.4518,-0.0086,0.0317,False
equal_opportunity_diff,min_level,100,50,0.0012,0.9988,-0.019,0.0213,False
equal_opportunity_diff,min_level,100,75,-0.0025,0.9889,-0.0226,0.0177,False
equal_opportunity_diff,min_level,25,50,-0.0104,0.5459,-0.0305,0.0098,False
equal_opportunity_diff,min_level,25,75,-0.014,0.2764,-0.0342,0.0061,False
equal_opportunity_diff,min_level,50,75,-0.0037,0.9661,-0.0238,0.0165,False
equal_opportunity_diff,min_level within 50/50,100,25,0.001,0.9999,-0.0469,0.049,False
equal_opportunity_diff,min_level within 50/50,100,50,-0.0022,0.9994,-0.0502,0.0457,False
equal_opportunity_diff,min_level within 50/50,100,75,0.0004,1.0,-0.0475,0.0484,False
equal_opportunity_diff,min_level within 50/50,25,50,-0.0033,0.998,-0.0512,0.0447,False
equal_opportunity_diff,min_level within 50/50,25,75,-0.0006,1.0,-0.0486,0.0473,False
equal_opportunity_diff,min_level within 50/50,50,75,0.0027,0.999,-0.0453,0.0506,False
equal_opportunity_diff,min_level within 80/20,100,25,-0.0051,0.9879,-0.0451,0.035,False
equal_opportunity_diff,min_level within 80/20,100,50,0.0007,1.0,-0.0394,0.0407,False
equal_opportunity_diff,min_level within 80/20,100,75,-0.009,0.9371,-0.0491,0.031,False
equal_opportunity_diff,min_level within 80/20,25,50,0.0057,0.9827,-0.0343,0.0458,False
equal_opportunity_diff,min_level within 80/20,25,75,-0.004,0.9941,-0.044,0.0361,False
equal_opportunity_diff,min_level within 80/20,50,75,-0.0097,0.9237,-0.0497,0.0304,False
equal_opportunity_diff,min_level within 90/10,100,25,0.0198,0.5007,-0.0168,0.0564,False
equal_opportunity_diff,min_level within 90/10,100,50,0.0137,0.7672,-0.0229,0.0503,False
equal_opportunity_diff,min_level within 90/10,100,75,0.0049,0.9858,-0.0317,0.0415,False
equal_opportunity_diff,min_level within 90/10,25,50,-0.0061,0.9731,-0.0427,0.0305,False
equal_opportunity_diff,min_level within 90/10,25,75,-0.0149,0.7174,-0.0515,0.0217,False
equal_opportunity_diff,min_level within 90/10,50,75,-0.0088,0.9244,-0.0455,0.0278,False
equal_opportunity_diff,min_level within 95/5,100,25,0.0304,0.1033,-0.004,0.0648,False
equal_opportunity_diff,min_level within 95/5,100,50,-0.0074,0.9437,-0.0418,0.0269,False
equal_opportunity_diff,min_level within 95/5,100,75,-0.0062,0.9658,-0.0406,0.0282,False
equal_opportunity_diff,min_level within 95/5,25,50,-0.0379,0.0244,-0.0723,-0.0035,True
equal_opportunity_diff,min_level within 95/5,25,75,-0.0367,0.0316,-0.0711,-0.0023,True
equal_opportunity_diff,min_level within 95/5,50,75,0.0012,0.9997,-0.0332,0.0356,False
fnr_diff,imbalance,50/50,80/20,0.0029,0.9825,-0.017,0.0228,False
fnr_diff,imbalance,50/50,90/10,-0.0086,0.6831,-0.0285,0.0113,False
fnr_diff,imbalance,50/50,95/5,-0.0323,0.0002,-0.0522,-0.0124,True
fnr_diff,imbalance,80/20,90/10,-0.0115,0.4485,-0.0314,0.0084,False
fnr_diff,imbalance,80/20,95/5,-0.0352,0.0,-0.0551,-0.0153,True
fnr_diff,imbalance,90/10,95/5,-0.0237,0.0121,-0.0436,-0.0038,True
fnr_diff,min_level,100,25,-0.0116,0.4518,-0.0317,0.0086,False
fnr_diff,min_level,100,50,-0.0012,0.9988,-0.0213,0.019,False
fnr_diff,min_level,100,75,0.0025,0.9889,-0.0177,0.0226,False
fnr_diff,min_level,25,50,0.0104,0.5459,-0.0098,0.0305,False
fnr_diff,min_level,25,75,0.014,0.2764,-0.0061,0.0342,False
fnr_diff,min_level,50,75,0.0037,0.9661,-0.0165,0.0238,False
fnr_diff,min_level within 50/50,100,25,-0.001,0.9999,-0.049,0.0469,False
fnr_diff,min_level within 50/50,100,50,0.0022,0.9994,-0.0457,0.0502,False
fnr_diff,min_level within 50/50,100,75,-0.0004,1.0,-0.0484,0.0475,False
fnr_diff,min_level within 50/50,25,50,0.0033,0.998,-0.0447,0.0512,False
fnr_diff,min_level within 50/50,25,75,0.0006,1.0,-0.0473,0.0486,False
fnr_diff,min_level within 50/50,50,75,-0.0027,0.999,-0.0506,0.0453,False
fnr_diff,min_level within 80/20,100,25,0.0051,0.9879,-0.035,0.0451,False
