"Name","State","dataset","classifier","imbalance","min_level","min_type","seed","accuracy","minority_recall","mcc"
"health-xgboost-80/20-horizontal50-s44","finished","health","xgboost","80/20","50","horizontal","44","0.7884444444444444","0.14222222222222222","0.14609053946856626"
"health-xgboost-80/20-horizontal50-s33","finished","health","xgboost","80/20","50","horizontal","33","0.788","0.14666666666666667","0.14828271737717538"
"health-xgboost-80/20-horizontal50-s22","finished","health","xgboost","80/20","50","horizontal","22","0.7831111111111111","0.13333333333333333","0.12349488360590168"
"health-xgboost-80/20-horizontal50-s11","finished","health","xgboost","80/20","50","horizontal","11","0.7822222222222223","0.1622222222222222","0.1444480610885959"
"health-xgboost-80/20-vertical75-s55","finished","health","xgboost","80/20","75","vertical","55","0.7884444444444444","0.11444444444444445","0.12283098727997556"
"health-xgboost-80/20-vertical75-s44","finished","health","xgboost","80/20","75","vertical","44","0.7873333333333333","0.12666666666666668","0.130015055246488"
"health-xgboost-80/20-vertical75-s33","finished","health","xgboost","80/20","75","vertical","33","0.7871111111111111","0.12333333333333334","0.1264932808553767"
"health-xgboost-80/20-vertical75-s22","finished","health","xgboost","80/20","75","vertical","22","0.7911111111111111","0.15666666666666668","0.16510363105885192"
"health-xgboost-80/20-vertical75-s11","finished","health","xgboost","80/20","75","vertical","11","0.7884444444444444","0.12","0.12770228899898367"
"health-xgboost-80/20-horizontal75-s55","finished","health","xgboost","80/20","75","horizontal","55","0.7851851851851852","0.11851851851851852","0.11652714357586216"
"health-xgboost-80/20-horizontal75-s44","finished","health","xgboost","80/20","75","horizontal","44","0.7905185185185185","0.1288888888888889","0.14171334749890116"
"health-xgboost-80/20-horizontal75-s33","finished","health","xgboost","80/20","75","horizontal","33","0.7845925925925926","0.1125925925925926","0.10941313636798251"
"health-xgboost-80/20-horizontal75-s22","finished","health","xgboost","80/20","75","horizontal","22","0.784","0.10222222222222224","0.09785713610037922"
"health-xgboost-80/20-horizontal75-s11","finished","health","xgboost","80/20","75","horizontal","11","0.7872592592592592","0.13333333333333333","0.13537869570177813"
"health-xgboost-80/20-vertical100-s55","finished","health","xgboost","80/20","100","vertical","55","0.7866666666666666","0.1288888888888889","0.12990719361155006"
"health-xgboost-80/20-vertical100-s44","finished","health","xgboost","80/20","100","vertical","44","0.7868888888888889","0.1322222222222222","0.13336084811643892"
"health-xgboost-80/20-vertical100-s33","finished","health","xgboost","80/20","100","vertical","33","0.7891111111111111","0.11777777777777776","0.12787048793536968"
"health-xgboost-80/20-vertical100-s22","finished","health","xgboost","80/20","100","vertical","22","0.79","0.1411111111111111","0.14989852064372167"
"health-xgboost-80/20-horizontal100-s55","finished","health","xgboost","80/20","100","horizontal","55","0.7866666666666666","0.1288888888888889","0.12990719361155006"
"health-xgboost-80/20-vertical100-s11","finished","health","xgboost","80/20","100","vertical","11","0.7948888888888889","0.13111111111111112","0.1579115803291266"
"health-xgboost-80/20-horizontal100-s44","finished","health","xgboost","80/20","100","horizontal","44","0.7868888888888889","0.1322222222222222","0.13336084811643892"
"health-xgboost-80/20-horizontal100-s33","finished","health","xgboost","80/20","100","horizontal","33","0.7891111111111111","0.11777777777777776","0.12787048793536968"
"health-xgboost-80/20-horizontal100-s22","finished","health","xgboost","80/20","100","horizontal","22","0.79","0.1411111111111111","0.14989852064372167"
"health-xgboost-80/20-horizontal100-s11","finished","health","xgboost","80/20","100","horizontal","11","0.7948888888888889","0.13111111111111112","0.1579115803291266"
"health-xgboost-50/50-horizontal25-s55","finished","health","xgboost","50/50","25","horizontal","55","0.5884444444444444","0.5790408525754884","0.1769363803052537"
"health-xgboost-50/50-horizontal25-s33","finished","health","xgboost","50/50","25","horizontal","33","0.5911111111111111","0.5932504440497336","0.18222014330645284"
"health-xgboost-50/50-horizontal25-s44","finished","health","xgboost","50/50","25","horizontal","44","0.6053333333333333","0.603202846975089","0.210664879925273"
"health-xgboost-50/50-horizontal25-s22","finished","health","xgboost","50/50","25","horizontal","22","0.6088888888888889","0.6192170818505338","0.21784156761661055"
"health-xgboost-50/50-horizontal25-s11","finished","health","xgboost","50/50","25","horizontal","11","0.6106666666666667","0.6269982238010657","0.22142397342830616"
"health-xgboost-50/50-vertical50-s55","finished","health","xgboost","50/50","50","vertical","55","0.6111111111111112","0.6008888888888889","0.2222686784868685"
"health-xgboost-50/50-vertical50-s44","finished","health","xgboost","50/50","50","vertical","44","0.6146666666666667","0.6","0.22943206134667796"
"health-xgboost-50/50-vertical50-s33","finished","health","xgboost","50/50","50","vertical","33","0.6144444444444445","0.6124444444444445","0.22889072002197364"
"health-xgboost-50/50-vertical50-s22","finished","health","xgboost","50/50","50","vertical","22","0.6222222222222222","0.6133333333333333","0.244483081861072"
"health-xgboost-50/50-vertical50-s11","finished","health","xgboost","50/50","50","vertical","11","0.6091111111111112","0.5933333333333334","0.2183309511549929"
"health-xgboost-50/50-horizontal50-s55","finished","health","xgboost","50/50","50","horizontal","55","0.6066666666666667","0.6044444444444445","0.21333544036043336"
"health-xgboost-50/50-horizontal50-s33","finished","health","xgboost","50/50","50","horizontal","33","0.6075555555555555","0.5955555555555555","0.21517308988722797"
"health-xgboost-50/50-horizontal50-s44","finished","health","xgboost","50/50","50","horizontal","44","0.6066666666666667","0.6115555555555555","0.21334353192469824"
"health-xgboost-50/50-horizontal50-s22","finished","health","xgboost","50/50","50","horizontal","22","0.6186666666666667","0.6008888888888889","0.2374834938297344"
"health-xgboost-50/50-horizontal50-s11","finished","health","xgboost","50/50","50","horizontal","11","0.5986666666666667","0.6168888888888889","0.19746451284507935"
"health-xgboost-50/50-vertical75-s55","finished","health","xgboost","50/50","75","vertical","55","0.6046666666666667","0.5902222222222222","0.20942073948724688"
"health-xgboost-50/50-vertical75-s44","finished","health","xgboost","50/50","75","vertical","44","0.6237777777777778","0.6044444444444445","0.24774082486097088"
"health-xgboost-50/50-vertical75-s33","finished","health","xgboost","50/50","75","vertical","33","0.6046666666666667","0.6133333333333333","0.20936478693957528"
"health-xgboost-50/50-vertical75-s22","finished","health","xgboost","50/50","75","vertical","22","0.6193333333333333","0.6253333333333333","0.23868385252276145"
"health-xgboost-50/50-vertical75-s11","finished","health","xgboost","50/50","75","vertical","11","0.6144444444444445","0.5906666666666667","0.22914814835767192"
"health-xgboost-50/50-horizontal75-s44","finished","health","xgboost","50/50","75","horizontal","44","0.6214454976303317","0.6172985781990521","0.242899349655794"
"health-xgboost-50/50-horizontal75-s55","finished","health","xgboost","50/50","75","horizontal","55","0.6134478672985783","0.5983412322274881","0.2269993654947252"
"health-xgboost-50/50-horizontal75-s33","finished","health","xgboost","50/50","75","horizontal","33","0.606931279620853","0.5781990521327014","0.21421654073969829"
