dataset,classifier,imbalance,min_level,min_type,seed,accuracy,minority_recall,macro_f1,balanced_accuracy,mcc,equal_opportunity_diff,fnr_diff,n_test,n_female_pos_test,status,run_id,runtime_sec,exported_at
adult,logistic_regression,80/20,25,horizontal,22,0.8737777777777778,0.5688888888888889,0.7832711071556486,0.7594444444444444,0.5753675427908054,-0.1504465660609794,0.1504465660609794,1125,34,ok,71,27.2,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,horizontal,33,0.8657777777777778,0.5377777777777778,0.7672310670991134,0.7427777777777778,0.5449301427948785,-0.2308270676691729,0.2308270676691729,1125,35,ok,72,27.5,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,horizontal,44,0.8595555555555555,0.5288888888888889,0.7578944787682651,0.7355555555555555,0.5248843432120907,-0.0849624060150376,0.0849624060150376,1125,35,ok,73,27.9,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,horizontal,55,0.8595555555555555,0.5466666666666666,0.7616602126084764,0.7422222222222222,0.5297663998180961,-0.2075187969924812,0.2075187969924812,1125,35,ok,74,28.2,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,vertical,11,0.8597777777777778,0.4844444444444444,0.7480029936126147,0.7190277777777778,0.5143726148079931,-0.1746229687073769,0.174622968707377,4500,134,ok,75,28.7,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,vertical,22,0.8628888888888889,0.5144444444444445,0.758694284474452,0.7322222222222222,0.5308550725000081,-0.1642670157068062,0.1642670157068062,4500,136,ok,76,29.1,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,vertical,33,0.8706666666666667,0.5466666666666666,0.7750317738628667,0.7491666666666666,0.5613442445434074,-0.1615443519034969,0.1615443519034969,4500,139,ok,77,29.5,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,vertical,44,0.8611111111111112,0.5144444444444445,0.7565651458934293,0.7311111111111112,0.5256042599457585,-0.0924040283919878,0.0924040283919878,4500,142,ok,78,30.0,2026-07-14T14:34:29.463399
adult,logistic_regression,80/20,25,vertical,55,0.8608888888888889,0.5011111111111111,0.7532673464354183,0.7259722222222222,0.5216870558343774,-0.0943609022556391,0.094360902255639,4500,140,ok,79,30.4,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,horizontal,11,0.9162222222222224,0.3488888888888889,0.7045207026224245,0.664074074074074,0.437261645618687,-0.1602746212121212,0.1602746212121211,4500,66,ok,80,30.8,2026-07-14T14:34:29.463399
