dataset,classifier,imbalance,min_level,min_type,seed,run_id
adult,random_forest,50/50,25,vertical,22,196
adult,random_forest,50/50,25,vertical,33,197
adult,random_forest,50/50,25,vertical,44,198
adult,random_forest,50/50,25,vertical,55,199
adult,random_forest,80/20,100,horizontal,11,200
adult,random_forest,80/20,100,horizontal,22,201
adult,random_forest,80/20,100,horizontal,33,202
adult,random_forest,80/20,100,horizontal,44,203
adult,random_forest,80/20,100,horizontal,55,204
adult,random_forest,80/20,100,vertical,11,205
adult,random_forest,80/20,100,vertical,22,206
adult,random_forest,80/20,100,vertical,33,207
adult,random_forest,80/20,100,vertical,44,208
adult,random_forest,80/20,100,vertical,55,209
adult,random_forest,80/20,75,horizontal,11,210
adult,random_forest,80/20,75,horizontal,22,211
adult,random_forest,80/20,75,horizontal,33,212
adult,random_forest,80/20,75,horizontal,44,213
adult,random_forest,80/20,75,horizontal,55,214
adult,random_forest,80/20,75,vertical,11,215
adult,random_forest,80/20,75,vertical,22,216
adult,random_forest,80/20,75,vertical,33,217
adult,random_forest,80/20,75,vertical,44,218
adult,random_forest,80/20,75,vertical,55,219
adult,random_forest,80/20,50,horizontal,11,220
adult,random_forest,80/20,50,horizontal,22,221
adult,random_forest,80/20,50,horizontal,33,222
adult,random_forest,80/20,50,horizontal,44,223
adult,random_forest,80/20,50,horizontal,55,224
adult,random_forest,80/20,50,vertical,11,225
adult,random_forest,80/20,50,vertical,22,226
adult,random_forest,80/20,50,vertical,33,227
adult,random_forest,80/20,50,vertical,44,228
adult,random_forest,80/20,50,vertical,55,229
adult,random_forest,80/20,25,horizontal,11,230
adult,random_forest,80/20,25,horizontal,22,231
adult,random_forest,80/20,25,horizontal,33,232
adult,random_forest,80/20,25,horizontal,44,233
adult,random_forest,80/20,25,horizontal,55,234
adult,random_forest,80/20,25,vertical,11,235
adult,random_forest,80/20,25,vertical,22,236
adult,random_forest,80/20,25,vertical,33,237
adult,random_forest,80/20,25,vertical,44,238
adult,random_forest,80/20,25,vertical,55,239
adult,random_forest,90/10,100,horizontal,11,240
adult,random_forest,90/10,100,horizontal,22,241
adult,random_forest,90/10,100,horizontal,33,242
adult,random_forest,90/10,100,horizontal,44,243
adult,random_forest,90/10,100,horizontal,55,244
adult,random_forest,90/10,100,vertical,11,245
adult,random_forest,90/10,100,vertical,22,246
adult,random_forest,90/10,100,vertical,33,247
adult,random_forest,90/10,100,vertical,44,248
adult,random_forest,90/10,100,vertical,55,249
adult,random_forest,90/10,75,horizontal,11,250
adult,random_forest,90/10,75,horizontal,22,251
adult,random_forest,90/10,75,horizontal,33,252
adult,random_forest,90/10,75,horizontal,44,253
adult,random_forest,90/10,75,horizontal,55,254
adult,random_forest,90/10,75,vertical,11,255
adult,random_forest,90/10,75,vertical,22,256
adult,random_forest,90/10,75,vertical,33,257
adult,random_forest,90/10,75,vertical,44,258
adult,random_forest,90/10,75,vertical,55,259
adult,random_forest,90/10,50,horizontal,11,260
adult,random_forest,90/10,50,horizontal,22,261
adult,random_forest,90/10,50,horizontal,33,262
adult,random_forest,90/10,50,horizontal,44,263
adult,random_forest,90/10,50,horizontal,55,264
adult,random_forest,90/10,50,vertical,11,265
adult,random_forest,90/10,50,vertical,22,266
adult,random_forest,90/10,50,vertical,33,267
adult,random_forest,90/10,50,vertical,44,268
adult,random_forest,90/10,50,vertical,55,269
adult,random_forest,90/10,25,horizontal,11,270
adult,random_forest,90/10,25,horizontal,22,271
adult,random_forest,90/10,25,horizontal,33,272
adult,random_forest,90/10,25,horizontal,44,273
adult,random_forest,90/10,25,horizontal,55,274
